"model","avg_delay"
"737-230",12.9564032697548
"737-282",13.6886967263743
"737-236",13.9509830325882
"737-2P6",15.585597826087
"737-2X6C",15.6678635547576
"737-2Y5",16.3980836236934
"737-282C",17.4078125
"EXEC 162F",19
"A318-111",19.4060742407199
"737-76Q",19.4080221300138
"A319-111",19.4265200122212
"737-705",19.9548069022186
"737-7AD",20.3039340101523
"T337G",20.4909090909091
"737-7H4",20.5257026668265
"747-2B5F",20.530230708035
"737-3K2",20.5613695090439
"767-224",21.8325411334552
"737-3T5",21.9305389221557
"737-5H4",22.0360018048398
"757-212",22.1808580858086
"737-924ER",22.2009400705053
"737-3G7",22.4433336985101
"737-3H4",22.515829384886
"A321-211",22.5479430075091
"A319-132",22.5707237144909
"737-7Q8",22.5803788246722
"737-3Y0",22.6234172812022
"737-3Q8",22.666020109255
"737-317",22.8785783210035
"767-324",23.1
"737-3A4",23.1265468129816
"737-3S3",23.2412076441304
"767-432ER",23.3620076681771
"A320-214",23.529772218231
"757-26D",23.624053030303
"757-232",23.7005888791256
"737-33A",23.8812561334642
"737-3L9",23.9863486584026
"A319-112",23.9919803995073
"767-332",24.0684147886513
"757-2Q8",24.1391213389121
"737-832",24.3844102636551
"737-401",24.5448798988622
"737-301",24.6732103782432
"777-224",24.7323943661972
"182A",24.7371879106439
"DA 20-A1",24.8059424326834
"737-4B7",24.8256095081004
"777-232LR",24.9
"737-3B7",25.046079420875
"A319-114",25.2726209048362
"A320-231",25.6845097110374
"757-2G7",25.8682681131344
"737-890",26.1859745084886
"65-A90",26.3363636363636
"A320-212",26.9888333593628
"737-924",27.0008398068444
"757-231",27.0166666666667
"737-990",27.2799434846831
"777-222",27.308655126498
"737-790",27.481731938701
"EMB-120",27.5926168990976
"EMB-120ER",27.9168417207051
"767-424ER",28.2187700192185
"A320-211",28.3176969930822
"737-8FH",28.3392200147167
"757-23N",28.3488372093023
"757-351",28.5885151582208
"767-3CB",28.8106834249804
"737-73A",28.8508098891731
"757-2B7",29.0344250404508
"757-225",29.0825529462613
"757-33N",29.0985707244948
"737-76N",29.1501130631414
"737-824",29.3201642849105
"MD-90-30",29.4088119699373
"757-2S7",29.9390845070423
"MD-88",30.117466608235
"737-4Q8",30.300417455026
"767-33A",30.3047645897942
"737-7BD",30.3122541789577
"757-224",30.4489849607577
"717-200",30.5865949428991
"737-724",30.6399422307806
"757-324",30.6741502683363
"757-251",30.8285826739031
"737-490",30.8943574870986
"777-232",30.9599728629579
"AS 355F1",31.4296577946768
"DC-9-51",31.7055413817736
"E-90",32.0271317829457
"767-3G5",32.2851511169514
"DC-9-41",32.4291312384473
"767-322",32.7229166666667
"757-222",33.2246145551623
"A109E",33.505376344086
"EMB-135KL",33.5725072008501
"737-3TO",33.6707841323393
"767-223",33.6718100240753
"767-3P6",33.8534482758621
"FALCON-XP",33.8661623508874
"MD 83",33.9863923000332
"A320-232",34.0426435124596
"G-IV",34.1290944123314
"VANS AIRCRAFT RV6",34.3328358208955
"DC-9-31",34.7824502695668
"CL600-2D24",34.8362834963994
"DC-9-32",35.3027612722824
"S55A",35.3122448979592
"DC-9-83(MD-83)",35.4895976732913
"EMB-145XR",35.5465681136701
"F85P-1",35.6410256410256
"SAAB 340B",35.6533303109298
"",35.7226232188741
"182P",35.7710168134508
"DC-9-82(MD-82)",35.9122338909224
"737-4S3",35.9390563564875
"206B",35.9439102564103
"PA-32RT-300",35.9588477366255
"C90",35.9795275590551
"EMB-145",36.1146637265711
"OTTER DHC-3",36.1671258034894
"HST-550",36.3574660633484
"60",36.455893832943
"T210N",36.5919629057187
"757-223",36.6278220730172
"EMB-145LR",36.7725839316903
"210-5(205)",36.8949843260188
"172M",36.9136363636364
"KITFOX IV",36.9233746130031
"172E",36.9634551495017
"550",37.1448707909162
"421C",37.4059196617336
"S-50A",37.4275700934579
"PA-32R-300",37.548885077187
"EMB-135LR",37.6713456076283
"767-323",37.7917326803975
"FALCON XP",38.0151898734177
"150",38.1283292978208
"CL-600-2C10",38.1356858421473
"CL-600-2B19",38.3153074548184
"A-1B",38.4429657794677
"PA-31-350",38.6112913692408
"A319-131",39.0133307511055
"737-522",39.4268269368637
"EMB-145EP",39.4704798372622
"767-2B7",39.5109329446064
"DC-7BF",39.6580882352941
"S-76A",40.0845714285714
"690A",40.5266903914591
"737-322",40.5454014508791
"737-524",41.5712084824867
"PA-28-180",41.9125305126119
"DHC-8-202",41.921731006073
"767-201",42.1258278145695
"1121",42.8105263157895
"747-451",43.2692307692308
"747-422",45.1818181818182
"ERJ 190-100 IGW",46.882540950859
"ATR 72-212",47.2510148849797
"ATR-72-212",47.663491038269
"EMB-135ER",47.7918644067797
"DHC-8-102",52.5454545454545
"A330-323",54.2857142857143
"A330-223",105.647058823529
